id,idx,tm_1DUJ,tm_1S2H,rmsd_1DUJ,rmsd_1S2H,lddt_1DUJ,lddt_1S2H,mean_plddt
Mad2_026,026,0.702663854924539,0.5850365950511685,8.753472328186035,14.820405960083008,0.37953335024093326,0.5505138986218173,59.13
Mad2_027,027,0.7917574063543161,0.5984675429122701,4.295063018798828,15.518204689025879,0.39579372623574144,0.5031693989071038,68.47
Mad2_028,028,0.6993169861865106,0.5853025288305831,10.776262283325195,15.985075950622559,0.36536151813595963,0.5112597547380157,64.01
Mad2_029,029,0.6762413768167779,0.5985748734195225,9.392943382263184,14.665562629699707,0.367506414742244,0.49433249370277077,63.65
Mad2_030,030,0.6800394188212946,0.5959059653578261,10.947042465209961,17.020471572875977,0.36082098615496716,0.5209500336096795,61.49
Mad2_031,031,0.6956325110764986,0.6102694176916775,9.690991401672363,15.353667259216309,0.36772167190142546,0.5348428225983732,64.93
Mad2_032,032,0.6846709747013504,0.5293543763886108,10.357585906982422,16.6810302734375,0.36841123818995525,0.4693585337915235,52.2
Mad2_033,033,0.7007787938795613,0.6078094005857493,10.724903106689453,16.440475463867188,0.3590269636576787,0.5066409597257926,61.27
Mad2_034,034,0.7413739311642951,0.6078075352503095,10.41905403137207,16.040767669677734,0.36981787682722267,0.543422519509476,64.29
Mad2_035,035,0.7117073377275054,0.6031291402477392,6.719998836517334,14.540431022644043,0.37467409338705854,0.5394765187419216,64.48
Mad2_036,036,0.44761144616654225,0.39517284696021404,14.965337753295898,19.736961364746094,0.32550969041026934,0.44671943106217027,50.91
Mad2_037,037,0.7252683782856779,0.5923822368441167,9.806153297424316,16.3682861328125,0.3600847258178395,0.5305798687089716,63.13
Mad2_038,038,0.40782703432589673,0.39068373370763065,15.563837051391602,19.747873306274414,0.3398898001025115,0.48140900195694714,50.66
Mad2_039,039,0.6872494625106981,0.6090875837854568,11.596623420715332,16.14323616027832,0.36079478054567027,0.5227812567480026,64.54
Mad2_040,040,0.6806723040193251,0.5930913946733483,7.973801136016846,14.806257247924805,0.36830574488802337,0.5223996451541362,59.53
Mad2_041,041,0.726945920896803,0.6028725213891628,10.34801197052002,16.01784324645996,0.35140350877192983,0.5060101223112611,62.27
Mad2_042,042,0.7338826480101387,0.5985687862675031,5.7943243980407715,15.616299629211426,0.3867542972699697,0.5224675033617212,65.41
